stock_id,symbol,reason
1107,1107.TW,no data
1230,1230.TW,no data
1258,1258.TWO,no data
1262,1262.TW,no data
1311,1311.TW,no data
1469,1469.TW,no data
1507,1507.TW,no data
1520,1520.TW,no data
1523,1523.TW,no data
1592,1592.TW,no data
1601,1601.TW,no data
1606,1606.TW,no data
1613,1613.TW,no data
1701,1701.TW,no data
1704,1704.TW,no data
1715,1715.TW,no data
1716,1716.TW,no data
1724,1724.TW,no data
1729,1729.TW,no data
1902,1902.TW,no data
2311,2311.TW,no data
2315,2315.TW,no data
2325,2325.TW,no data
2336,2336.TW,no data
2341,2341.TW,no data
2350,2350.TW,no data
2361,2361.TW,no data
2381,2381.TW,no data
2384,2384.TW,no data
2391,2391.TW,no data
2396,2396.TW,no data
2403,2403.TW,no data
2411,2411.TW,no data
2418,2418.TW,no data
2437,2437.TW,no data
2446,2446.TW,no data
2447,2447.TW,no data
2448,2448.TW,no data
2452,2452.TW,no data
2456,2456.TW,no data
2463,2463.TW,no data
2469,2469.TW,no data
2473,2473.TW,no data
2475,2475.TW,no data
2479,2479.TW,no data
2494,2494.TW,no data
2499,2499.TW,no data
2526,2526.TW,no data
2807,2807.TW,no data
2809,2809.TW,no data
2823,2823.TW,no data
2827,2827.TW,no data
2831,2831.TW,no data
2833,2833.TW,no data
2837,2837.TW,no data
2841,2841.TW,no data
2847,2847.TW,no data
2854,2854.TW,no data
2856,2856.TW,no data
2888,2888.TW,no data
2928,2928.TWO,no data
2936,2936.TW,no data
3007,3007.TW,no data
3009,3009.TW,no data
3020,3020.TW,no data
3053,3053.TW,no data
3061,3061.TW,no data
3063,3063.TW,no data
3080,3080.TW,no data
3089,3089.TWO,no data
3142,3142.TW,no data
3144,3144.TWO,no data
3202,3202.TWO,no data
3214,3214.TW,no data
3271,3271.TW,no data
3315,3315.TW,no data
3367,3367.TW,no data
3383,3383.TW,no data
3454,3454.TW,no data
3474,3474.TW,no data
3514,3514.TW,no data
3519,3519.TW,no data
3534,3534.TW,no data
3536,3536.TW,no data
3559,3559.TW,no data
3561,3561.TW,no data
3573,3573.TW,no data
3579,3579.TW,no data
3584,3584.TW,no data
3598,3598.TW,no data
3599,3599.TW,no data
3614,3614.TW,no data
3638,3638.TW,no data
3642,3642.TWO,no data
3682,3682.TW,no data
3697,3697.TW,no data
3698,3698.TW,no data
4141,4141.TW,no data
4144,4144.TW,no data
4152,4152.TWO,no data
4429,4429.TWO,no data
4725,4725.TW,no data
4733,4733.TW,no data
4803,4803.TWO,no data
4944,4944.TWO,no data
4945,4945.TWO,no data
4984,4984.TW,no data
5102,5102.TWO,no data
5259,5259.TW,no data
5264,5264.TW,no data
5280,5280.TW,no data
5281,5281.TWO,no data
5304,5304.TWO,no data
5305,5305.TW,no data
5349,5349.TWO,no data
5383,5383.TWO,no data
5820,5820.TWO,no data
5854,5854.TW,no data
6004,6004.TW,no data
6012,6012.TW,no data
6119,6119.TW,no data
6131,6131.TW,no data
6145,6145.TW,no data
6172,6172.TW,no data
6238,6238.TWO,no data
6247,6247.TWO,no data
6251,6251.TW,no data
6255,6255.TW,no data
6280,6280.TW,no data
6286,6286.TW,no data
6287,6287.TWO,no data
6288,6288.TW,no data
6289,6289.TW,no data
6404,6404.TWO,no data
6422,6422.TW,no data
6452,6452.TW,no data
6457,6457.TWO,no data
6497,6497.TWO,no data
6514,6514.TWO,no data
6594,6594.TWO,no data
6702,6702.TW,no data
6747,6747.TWO,no data
8008,8008.TW,no data
8078,8078.TW,no data
8199,8199.TW,no data
8406,8406.TWO,no data
8418,8418.TWO,no data
8420,8420.TWO,no data
8427,8427.TW,no data
8480,8480.TW,no data
8497,8497.TW,no data
8934,8934.TWO,no data
9101,9101.TW,no data
9102,9102.TW,no data
9104,9104.TW,no data
9106,9106.TW,no data
9151,9151.TW,no data
9157,9157.TW,no data
9188,9188.TW,no data
9915,9915.TW,no data
9922,9922.TW,no data
