date,equity
2021-01-04,100000.0
2021-01-05,103577.48
2021-01-06,97066.27
2021-01-07,106471.37
2021-01-08,102492.29
2021-01-11,102854.05
2021-01-12,98513.22
2021-01-13,103577.48
2021-01-14,112259.1
2021-01-15,111897.39
2021-01-18,113344.33
2021-01-19,114429.52
2021-01-20,103215.77
2021-01-21,110088.73
2021-01-22,112259.1
2021-01-25,101045.35
2021-01-26,91278.54
2021-01-27,92002.01
2021-01-28,98513.22
2021-01-29,92002.01
2021-02-01,94534.14
2021-02-02,97097.29
2021-02-03,97058.57
2021-02-04,106604.55
2021-02-05,117104.78
2021-02-17,127286.92
2021-02-18,114559.24
2021-02-19,120922.63
2021-02-22,120604.55
2021-02-23,112649.86
2021-02-24,117422.86
2021-02-25,119014.15
2021-02-26,113286.02
2021-03-02,110740.49
2021-03-03,111377.54
2021-03-04,114559.24
2021-03-05,114559.24
2021-03-08,108194.95
2021-03-09,101802.46
2021-03-10,98425.87
2021-03-11,96429.03
2021-03-12,103694.6
2021-03-15,105064.1
2021-03-16,106890.1
2021-03-17,102325.1
2021-03-18,103694.6
2021-03-19,102781.6
2021-03-22,103238.1
2021-03-23,95477.6
2021-03-24,100499.1
2021-03-25,96390.6
2021-03-26,96847.1
2021-03-29,100955.6
2021-03-30,110998.6
2021-03-31,116933.1
2021-04-01,107803.1
2021-04-07,129715.1
2021-04-08,142497.1
2021-04-09,134736.6
2021-04-12,129715.1
2021-04-13,127889.1
2021-04-14,117846.1
2021-04-15,123324.1
2021-04-16,119672.1
2021-04-19,107803.1
2021-04-20,105064.1
2021-04-21,107803.1
2021-04-22,97303.6
2021-04-23,106890.1
2021-04-26,114194.1
2021-04-27,120128.6
2021-04-28,116020.1
2021-04-29,113281.1
2021-05-03,102325.1
2021-05-04,111911.6
2021-05-05,102325.1
2021-05-06,98673.1
2021-05-07,99247.84
2021-05-10,107037.08
2021-05-11,105545.88
2021-05-12,95107.48
2021-05-13,85601.08
2021-05-14,87725.23
2021-05-17,87690.24
2021-05-18,92084.19
2021-05-19,97118.77
2021-05-20,94422.96
2021-05-21,94385.3
2021-05-24,95112.53
2021-05-25,92962.2
2021-05-26,93172.58
2021-05-27,101389.83
2021-05-28,111449.88
2021-05-31,114803.23
2021-06-01,121767.88
2021-06-02,132343.83
2021-06-03,138276.68
2021-06-04,135439.23
2021-06-07,143435.68
2021-06-08,147562.88
2021-06-09,144467.48
2021-06-10,138792.58
2021-06-11,125121.23
2021-06-15,137502.83
2021-06-16,136728.98
2021-06-17,144467.48
2021-06-18,158912.68
2021-06-21,174389.68
2021-06-22,162523.98
2021-06-23,146531.08
2021-06-24,160976.28
2021-06-25,176969.18
2021-06-28,194509.78
2021-06-29,194509.78
2021-06-30,190382.58
2021-07-01,175679.43
2021-07-02,193220.03
2021-07-05,192446.18
2021-07-06,191930.28
2021-07-07,187803.08
2021-07-08,193993.88
2021-07-09,186771.28
2021-07-12,205343.68
2021-07-13,225721.73
2021-07-14,208181.13
2021-07-15,214887.83
2021-07-16,221852.48
2021-07-19,244036.18
2021-07-20,245583.88
2021-07-21,262092.68
2021-07-22,253580.33
2021-07-23,229581.87
2021-07-26,284529.06
2021-07-27,303814.95
2021-07-28,332073.78
2021-07-29,329248.15
2021-07-30,372816.35
2021-08-02,367351.65
2021-08-03,340619.16
2021-08-04,336517.66
2021-08-05,345284.94
2021-08-06,327481.94
2021-08-09,304993.94
2021-08-10,304993.94
2021-08-11,313762.33
2021-08-12,340230.19
2021-08-13,340444.66
2021-08-16,313983.89
2021-08-17,312916.77
2021-08-18,321969.42
2021-08-19,325096.79
2021-08-20,327735.13
2021-08-23,320000.55
2021-08-24,301214.43
2021-08-25,298596.78
2021-08-26,291811.3
2021-08-27,287242.13
2021-08-30,296143.09
2021-08-31,294245.09
2021-09-01,294245.09
2021-09-02,288551.09
2021-09-03,287127.59
2021-09-06,319393.59
2021-09-07,322240.59
2021-09-08,306582.09
2021-09-09,334577.59
2021-09-10,341695.09
2021-09-13,354981.09
2021-09-14,389619.59
2021-09-15,409548.59
2021-09-16,403380.09
2021-09-17,402905.59
2021-09-22,387721.59
2021-09-23,383451.09
2021-09-24,389241.23
