stock_id,name,buy_date,buy_price,shares,buy_cost,sell_date,sell_price,sell_net,pnl,ret_pct
3062,建漢,2006-01-03,42.15,2694,99987.28,2006-01-23,44.1,104215.67,4228.4,4.23
1808,潤隆,2006-01-24,28.88,23839,104227.54,2006-01-25,27.01,97077.45,-7150.09,-6.86
2466,冠西電,2006-02-03,19.23,6247,97069.62,2006-02-06,18.69,93987.28,-3082.33,-3.18
2383,台光電,2006-02-07,17.8,6928,93991.56,2006-02-27,13.5,71015.05,-22976.51,-24.45
2032,新鋼,2006-03-01,16.0,5713,71011.2,2006-03-08,15.55,68751.7,-2259.5,-3.18
1449,佳和,2006-03-09,3.02,1247,68744.72,2006-03-10,3.15,71389.06,2644.34,3.85
1449,佳和,2006-03-13,3.21,1221,71390.8,2006-03-14,3.12,69290.96,-2099.84,-2.94
1449,佳和,2006-03-15,3.26,1165,69284.32,2006-03-16,3.36,71153.88,1869.56,2.7
1449,佳和,2006-03-17,3.42,1142,71159.68,2006-03-20,3.3,68418.78,-2740.9,-3.85
1449,佳和,2006-03-21,3.25,1153,68378.03,2006-03-22,3.3,69077.81,699.77,1.02
1449,佳和,2006-03-23,3.44,1100,69093.81,2006-03-24,3.34,66817.88,-2275.93,-3.29
2485,兆赫,2006-03-27,42.0,2189,66842.6,2006-03-28,43.8,69442.75,2600.15,3.89
2485,兆赫,2006-03-29,43.5,2196,69451.39,2006-05-18,37.76,60057.36,-9394.02,-13.53
3043,科風,2006-05-19,128.0,135,59767.75,2006-05-22,145.28,67576.74,7808.99,13.07
3043,科風,2006-05-23,150.17,130,67521.28,2006-05-24,131.09,58719.88,-8801.4,-13.04
3043,科風,2006-05-25,121.31,140,58740.63,2006-05-26,112.99,54506.33,-4234.3,-7.21
3043,科風,2006-05-29,98.29,161,54731.77,2006-05-30,105.17,58340.66,3608.89,6.59
1432,大魯閣,2006-06-05,7.22,5058,58438.15,2006-06-06,7.72,62279.69,3841.54,6.57
1432,大魯閣,2006-06-07,6.84,5694,62280.19,2006-06-08,6.34,57552.26,-4727.93,-7.59
1432,大魯閣,2006-06-29,6.46,5568,57554.87,2006-07-18,5.87,52131.33,-5423.54,-9.42
