stock_id,name,type,industry
1101,台泥,twse,水泥工業
1102,亞泥,twse,水泥工業
1103,嘉泥,twse,水泥工業
1104,環泥,twse,水泥工業
1107,建台,twse,其他
1108,幸福,twse,水泥工業
1109,信大,twse,水泥工業
1110,東泥,twse,水泥工業
1201,味全,twse,食品工業
1203,味王,twse,食品工業
1210,大成,twse,食品工業
1213,大飲,twse,食品工業
1215,卜蜂,twse,食品工業
1216,統一,twse,食品工業
1217,愛之味,twse,食品工業
1218,泰山,twse,食品工業
1219,福壽,twse,食品工業
1220,台榮,twse,食品工業
1225,福懋油,twse,食品工業
1227,佳格,twse,食品工業
1229,聯華,twse,食品工業
1230,聯成食,twse,電器電纜
1231,聯華食,twse,食品工業
1232,大統益,twse,食品工業
1233,天仁,twse,食品工業
1234,黑松,twse,食品工業
1235,興泰,twse,食品工業
1236,宏亞,twse,食品工業
1240,茂生農經,tpex,農業科技業
1256,鮮活果汁-KY,twse,食品工業
1258,其祥-KY,tpex,食品工業
1259,安心,tpex,觀光餐旅
1262,綠悅-KY,twse,其他
1264,德麥,tpex,食品工業
1268,漢來美食,tpex,觀光餐旅
1294,漢田生技,tpex,食品工業
1295,生合,tpex,食品工業
1301,台塑,twse,塑膠工業
1303,南亞,twse,塑膠工業
1304,台聚,twse,塑膠工業
1305,華夏,twse,塑膠工業
1307,三芳,twse,塑膠工業
1308,亞聚,twse,塑膠工業
1309,台達化,twse,塑膠工業
1310,台苯,twse,塑膠工業
1311,福聚,twse,塑膠工業
1312,國喬,twse,塑膠工業
1313,聯成,twse,塑膠工業
1314,中石化,twse,塑膠工業
1315,達新,twse,塑膠工業
1316,上曜,twse,建材營造
1319,東陽,twse,汽車工業
1321,大洋,twse,塑膠工業
1323,永裕,twse,塑膠工業
1324,地球,twse,塑膠工業
1325,恆大,twse,塑膠工業
1326,台化,twse,塑膠工業
1336,台翰,tpex,電子零組件業
1337,再生-KY,twse,塑膠工業
1338,廣華-KY,twse,汽車工業
1339,昭輝,twse,汽車工業
1340,勝悅-KY,twse,塑膠工業
1341,富林-KY,twse,塑膠工業
1342,八貫,twse,其他
1402,遠東新,twse,紡織纖維
1409,新纖,twse,紡織纖維
1410,南染,twse,紡織纖維
1413,宏洲,twse,紡織纖維
1414,東和,twse,紡織纖維
1416,廣豐,twse,其他
1417,嘉裕,twse,紡織纖維
1418,東華,twse,紡織纖維
1419,新紡,twse,紡織纖維
1423,利華,twse,紡織纖維
1432,大魯閣,twse,運動休閒
1434,福懋,twse,紡織纖維
1435,中福,twse,其他
1436,華友聯,twse,建材營造
1437,勤益控,twse,其他
1438,三地開發,twse,建材營造
1439,雋揚,twse,建材營造
1440,南紡,twse,紡織纖維
1441,大東,twse,紡織纖維
1442,名軒,twse,建材營造
1443,立益物流,twse,其他
1444,力麗,twse,紡織纖維
1445,大宇,twse,紡織纖維
1446,宏和,twse,紡織纖維
1447,力鵬,twse,紡織纖維
1449,佳和,twse,紡織纖維
1451,年興,twse,紡織纖維
1452,宏益,twse,紡織纖維
1453,大將,twse,建材營造
1454,台富,twse,紡織纖維
1455,集盛,twse,紡織纖維
1456,怡華,twse,建材營造
